DISTANCE;DISTANCE_ROUTIERE;CODE_COMMUNE1;CODE_COMMUNE2
451,71;451,71;85870919;9952047672
1106,98;1106,98;111210305;42910105
628,57;628,57;9909803463;22750135
166,1;166,1;75850507;9912931109
116,07;116,07;9965375429;84010107
215,65;215,65;9952239433;73510107
403,79;403,79;9984450108;92730105
34,72;34,72;91630727;9912931109
32,17;32,17;92730115;9912931109
405,58;405,58;92730117;9952047672
853,71;853,71;115370303;9952047672
397,79;397,79;90010509;9952047672
24,7;24,7;91630111;9912931109
105,99;105,99;71610515;9952047672
228,71;228,71;70411117;9952047672
165,59;165,59;95410109;73510711
124,77;124,77;95410111;9912931109
429,17;429,17;95510107;9952047672
237,63;237,63;35910301;9952047672
655,66;655,66;9934392397;84010107
132,73;132,73;9990462769;15110107
194,47;194,47;9942445064;84010107
162,37;162,37;9942445064;53010101
1061,28;1061,28;111210101;9952047672
71,07;71,07;105010311;9952047672
382,5;382,5;95410103;9952047672
145,51;145,51;9940511409;9952047672
403,28;403,28;92730115;9952047672
296,66;296,66;9941690055;15110107
1030,88;1030,88;9934392397;9971526686
225,81;225,81;9909379871;15110107
92,83;92,83;9979285316;84010107
323,2;323,2;9942445064;93710101
451,52;451,52;23810101;9952047672
442,01;442,01;9942445064;22750135
108,1;108,1;64610703;9952047672
155,42;155,42;64670715;9952047672
537,35;537,35;24110123;9952047672
78,5;78,5;61810911;9952047672
58,61;58,61;9958468474;9971526686
1281,08;1281,08;9934392397;24110123
149,52;149,52;52550911;9952047672
164,04;164,04;9990462769;93710101
144,6;144,6;70410513;9912931109
51,01;51,01;91630511;9912931109
46,25;46,25;91630519;9912931109
34,35;34,35;9985188541;9912931109
325,05;325,05;82011307;9952047672
64,89;64,89;9936465766;9971526686
127,06;127,06;53110109;9952047672
398,53;398,53;90010101;9952047672
30,3;30,3;92730113;9912931109
35,75;35,75;91630701;9912931109
121,75;121,75;95510709;9912931109
71,42;71,42;9990462769;13310103
164;164;95410511;73510711
118,89;118,89;95410737;9912931109
58,78;58,78;91630531;9912931109
449,26;449,26;91630333;9952047672
63,71;63,71;91630309;9912931109
57,52;57,52;95410531;9912931109
652,66;652,66;9985188541;15110107
25,27;25,27;90010509;9912931109
35,67;35,67;90010101;9912931109
429,47;429,47;91630519;9952047672
26,06;26,06;92730117;9912931109
248,33;248,33;9979907550;84010107
193,55;193,55;9985188541;84010107
494,34;494,34;83630103;9912931109
281,41;281,41;9942445064;73510107
251,35;251,35;9941690055;9971526686
28,52;28,52;9936564102;22750135
122,23;122,23;9914763883;35310105
37,6;37,6;9914763883;31710103
208,2;208,2;74310103;9912931109
451,71;451,71;9952047672;85870919
1106,98;1106,98;42910105;111210305
628,57;628,57;22750135;9909803463
166,1;166,1;9912931109;75850507
116,07;116,07;84010107;9965375429
215,65;215,65;73510107;9952239433
403,79;403,79;92730105;9984450108
34,72;34,72;9912931109;91630727
32,17;32,17;9912931109;92730115
405,58;405,58;9952047672;92730117
853,71;853,71;9952047672;115370303
397,79;397,79;9952047672;90010509
24,7;24,7;9912931109;91630111
105,99;105,99;9952047672;71610515
228,71;228,71;9952047672;70411117
165,59;165,59;73510711;95410109
124,77;124,77;9912931109;95410111
429,17;429,17;9952047672;95510107
237,63;237,63;9952047672;35910301
655,66;655,66;84010107;9934392397
132,73;132,73;15110107;9990462769
194,47;194,47;84010107;9942445064
162,37;162,37;53010101;9942445064
1061,28;1061,28;9952047672;111210101
71,07;71,07;9952047672;105010311
382,5;382,5;9952047672;95410103
145,51;145,51;9952047672;9940511409
403,28;403,28;9952047672;92730115
296,66;296,66;15110107;9941690055
1030,88;1030,88;9971526686;9934392397
225,81;225,81;15110107;9909379871
92,83;92,83;84010107;9979285316
323,2;323,2;93710101;9942445064
451,52;451,52;9952047672;23810101
442,01;442,01;22750135;9942445064
108,1;108,1;9952047672;64610703
155,42;155,42;9952047672;64670715
537,35;537,35;9952047672;24110123
78,5;78,5;9952047672;61810911
58,61;58,61;9971526686;9958468474
1281,08;1281,08;24110123;9934392397
149,52;149,52;9952047672;52550911
164,04;164,04;93710101;9990462769
144,6;144,6;9912931109;70410513
51,01;51,01;9912931109;91630511
46,25;46,25;9912931109;91630519
34,35;34,35;9912931109;9985188541
325,05;325,05;9952047672;82011307
64,89;64,89;9971526686;9936465766
127,06;127,06;9952047672;53110109
398,53;398,53;9952047672;90010101
30,3;30,3;9912931109;92730113
35,75;35,75;9912931109;91630701
121,75;121,75;9912931109;95510709
71,42;71,42;13310103;9990462769
164;164;73510711;95410511
118,89;118,89;9912931109;95410737
58,78;58,78;9912931109;91630531
449,26;449,26;9952047672;91630333
63,71;63,71;9912931109;91630309
57,52;57,52;9912931109;95410531
652,66;652,66;15110107;9985188541
25,27;25,27;9912931109;90010509
35,67;35,67;9912931109;90010101
429,47;429,47;9952047672;91630519
26,06;26,06;9912931109;92730117
248,33;248,33;84010107;9979907550
193,55;193,55;84010107;9985188541
494,34;494,34;9912931109;83630103
281,41;281,41;73510107;9942445064
251,35;251,35;9971526686;9941690055
28,52;28,52;22750135;9936564102
122,23;122,23;35310105;9914763883
37,6;37,6;31710103;9914763883
208,2;208,2;9912931109;74310103
