DISTANCE;DISTANCE_ROUTIERE;CODE_COMMUNE1;CODE_COMMUNE2
249,51;249,51;74310109;45010107
358,64;358,64;22510311;45010107
74,65;74,65;42910303;45010107
101,12;101,12;42910511;45010107
177,94;177,94;142318101;45010107
301,8;301,8;9946955066;15710111
361,63;361,63;132010705;45010107
92,8;92,8;44910505;45010107
190;190;35610107;15710111
144,79;144,79;9923384414;45010107
102,25;102,25;53010715;45010107
462,4;462,4;90010101;45010107
32,87;32,87;42910705;45010107
219,88;219,88;133010729;45010107
127,89;127,89;44810705;45010107
249,51;249,51;45010107;74310109
358,64;358,64;45010107;22510311
74,65;74,65;45010107;42910303
101,12;101,12;45010107;42910511
177,94;177,94;45010107;142318101
301,8;301,8;15710111;9946955066
361,63;361,63;45010107;132010705
92,8;92,8;45010107;44910505
190;190;15710111;35610107
144,79;144,79;45010107;9923384414
102,25;102,25;45010107;53010715
462,4;462,4;45010107;90010101
32,87;32,87;45010107;42910705
219,88;219,88;45010107;133010729
127,89;127,89;45010107;44810705
